CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
332991,2013,1672,469,641,214,5406,1760,485552,5878776,0,832205,82551,1857829,3970885,857909,2050708,44984,64878,156638,134903,87793,251594,9442,21662,94052,2473,300793,2481584,615755,6886,19039,57000,211057,119369,3805,Cifras definitivas
332999,2013,11894,3676,2719,962,37011,8232,2487994,17478538,379605,2763306,515545,10834316,6710983,5611344,3949054,199273,153450,284217,335821,348850,672875,24393,163728,279321,16913,1320481,3430552,2292316,195912,130888,166886,438006,338891,13810,Cifras definitivas
333,2013,59394,17420,16614,3727,179648,47490,14656548,108497077,715484,15892736,4192219,35312003,73385165,34088979,25053721,567005,587525,1422720,1707287,1821872,4107779,106284,630740,1502141,1002106,5658471,23007229,8329996,1002589,1092485,1325823,2648043,2392344,204591,Cifras definitivas
3331,2013,14408,1843,2972,485,38063,8531,2743613,24023753,111597,1513837,721630,7062331,17007585,11549782,2759274,104629,178779,227986,382727,393158,648731,13732,55324,262932,6389,774769,6442067,1477092,211800,132578,362130,709552,660038,67722,Cifras definitivas
333111,2013,5984,1364,1114,269,16300,3454,1096547,11395925,0,648031,578571,5250556,6158281,6320787,1122041,26150,55639,104267,114615,58043,120364,7148,312,101492,3253,258725,1543165,227193,67592,46914,41384,157811,148973,7434,Cifras definitivas
333112,2013,446,26,0,0,1047,0,40966,432436,48,0,5277,414234,17592,289567,0,412,4228,3681,2710,2416,0,1352,986,2177,0,8803,42586,11628,11661,410,1273,6425,20442,1491,Cifras definitivas
333120,2013,4922,257,1663,205,12948,4575,1056784,9475941,28897,420665,84211,639118,8868442,4338911,704128,70497,64034,70602,157071,272810,499904,3384,32884,77302,3136,377881,3822565,957161,108760,71591,253306,441687,325502,57084,Cifras definitivas
333130,2013,3056,196,195,11,7768,502,549316,2719451,82652,445141,53571,758423,1963270,600517,933105,7570,54878,49436,108331,59889,28463,1848,21142,81961,0,129360,1033751,281110,23787,13663,66167,103629,165121,1713,Cifras definitivas
3332,2013,4336,764,1142,110,11967,2939,1082897,4962278,78845,641871,575013,3222708,1758469,1577875,828476,15126,38031,69952,65139,56380,332203,11867,87521,104203,40502,509874,1351408,748711,91684,112037,134712,163683,130178,43964,Cifras definitivas
333220,2013,383,53,10,1,929,28,85769,325472,1833,0,45411,289350,37212,136811,0,1863,2643,7900,5543,2283,1900,1530,8581,12758,0,27603,119595,17862,8002,12234,3940,11573,16998,1151,Cifras definitivas
333291,2013,2776,575,221,34,8084,537,686156,2172817,77012,280023,380376,1514229,668753,798287,267372,5513,16101,26246,34466,19748,40846,5045,2207,32804,25100,242249,736104,428149,50837,59254,93901,84976,35023,39634,Cifras definitivas
333292,2013,36,7,0,0,92,0,7198,12508,0,0,8051,10718,1811,5130,792,247,548,155,183,154,0,10,0,740,0,710,1649,20,2531,617,3499,769,76,0,Cifras definitivas
333299,2013,1141,129,911,75,2862,2374,303774,2451481,0,361848,141175,1408411,1050693,637647,560312,7503,18739,35651,24947,34195,289457,5282,76733,57901,15402,239312,494060,302680,30314,39932,33372,66365,78081,3179,Cifras definitivas
3333,2013,2140,321,488,154,5567,1491,455866,1701915,69992,550867,60202,1205950,495970,411214,470026,25369,10431,27480,26844,40937,119351,3258,18275,47591,0,145303,154262,146596,27434,35182,14716,31667,43069,15171,Cifras definitivas
333319,2013,2140,321,488,154,5567,1491,455866,1701915,69992,550867,60202,1205950,495970,411214,470026,25369,10431,27480,26844,40937,119351,3258,18275,47591,0,145303,154262,146596,27434,35182,14716,31667,43069,15171,Cifras definitivas
3334,2013,10586,3619,6990,1905,32646,20393,2398899,28974356,187927,2918220,971828,9582008,19551949,9363077,6086180,60938,110439,316190,412518,494068,1779719,26984,259820,456080,21435,1149378,3817407,2454396,148893,220866,222057,506905,500531,11914,Cifras definitivas
333411,2013,7399,2175,3874,1257,21916,11599,1543694,19134956,25657,2198927,197511,4866444,14431676,4626646,4981175,41894,52882,191600,291413,248814,957998,11730,29905,319079,17952,745788,1978926,1840885,74435,129800,92865,292726,412102,9302,Cifras definitivas
333412,2013,3187,1444,3116,648,10730,8794,855205,9839400,162270,719293,774317,4715564,5120273,4736431,1105005,19044,57557,124590,121105,245254,821721,15254,229915,137001,3483,403590,1838481,613511,74458,91066,129192,214179,88429,2612,Cifras definitivas
3335,2013,1889,709,441,52,5789,1231,525601,1870006,74777,341840,347851,971842,894802,434100,417583,17191,15825,99456,44956,28695,172089,4272,24396,53365,3037,188340,742933,150794,50508,47348,50073,90556,65058,5903,Cifras definitivas
333510,2013,1889,709,441,52,5789,1231,525601,1870006,74777,341840,347851,971842,894802,434100,417583,17191,15825,99456,44956,28695,172089,4272,24396,53365,3037,188340,742933,150794,50508,47348,50073,90556,65058,5903,Cifras definitivas
3336,2013,8043,2338,837,51,22944,2215,2486028,28050630,36811,4884929,169945,1753707,26296391,4045960,11196868,68986,95022,292860,361093,465180,106740,956,32400,156199,616528,1201323,6783846,1360464,120700,247652,207920,602012,469538,9663,Cifras definitivas
333610,2013,8043,2338,837,51,22944,2215,2486028,28050630,36811,4884929,169945,1753707,26296391,4045960,11196868,68986,95022,292860,361093,465180,106740,956,32400,156199,616528,1201323,6783846,1360464,120700,247652,207920,602012,469538,9663,Cifras definitivas
3339,2013,17992,7826,3744,970,62672,10690,4963644,18914139,155535,5041172,1345750,11513457,7379999,6706971,3295314,274766,138998,388796,414010,343454,948946,45215,153004,421771,314215,1689484,3715306,1991943,351570,296822,334215,543668,523932,50254,Cifras definitivas
333910,2013,5185,2943,1860,694,19202,5649,1525725,7109779,52248,1198847,469033,4077233,3016070,2782004,645684,120066,42595,122074,116573,118276,508767,14772,16158,160646,104015,529574,1356607,718795,153585,112613,123325,210902,237268,21632,Cifras definitivas
333920,2013,6615,1027,920,108,17768,2434,1648381,4145453,74297,2001657,504125,2501229,1644224,1135302,1378137,56641,44359,112140,134581,90129,198162,8791,34370,128845,51461,470772,806162,444284,85810,84520,60183,119725,110028,8012,Cifras definitivas
333991,2013,1881,801,307,76,5750,820,645608,3838404,35,411391,151209,3169474,659522,1899155,195608,65459,12416,73692,88436,71957,106144,9506,27377,56568,39152,171572,881416,452526,39370,69230,54876,104364,88164,15997,Cifras definitivas
333992,2013,603,86,1,0,1614,2,87465,371686,5962,0,8835,365844,7810,191127,4117,934,3835,5172,2956,4282,65,890,1924,4621,0,21255,67609,12159,26339,6160,4124,11484,6549,814,Cifras definitivas
333999,2013,3708,2969,656,92,18338,1785,1056465,3448817,22993,1429277,212548,1399677,2052373,699383,1071768,31666,35793,75718,71464,58810,135808,11256,73175,71091,119587,496311,603512,364179,46466,24299,91707,97193,81923,3799,Cifras definitivas
334,2013,93475,108678,25422,22371,482490,112039,30831318,44045828,137603,62287358,647221,10251910,33942308,4039323,22336205,1119963,243968,1768828,3099060,924290,6974968,47843,102782,1865015,609423,8904623,14408019,19653735,289587,1494024,1523288,2283800,1361300,120129,Cifras definitivas
3341,2013,10645,8792,8997,5331,46068,34402,3205787,15313284,0,5381536,48834,122651,15170307,216525,8267636,103330,43025,242391,345114,491603,2630721,1235,903,236112,544712,984863,1817189,3745538,18087,366914,263988,381662,330781,2470,Cifras definitivas
334110,2013,10645,8792,8997,5331,46068,34402,3205787,15313284,0,5381536,48834,122651,15170307,216525,8267636,103330,43025,242391,345114,491603,2630721,1235,903,236112,544712,984863,1817189,3745538,18087,366914,263988,381662,330781,2470,Cifras definitivas
3342,2013,15285,20427,3596,4481,84244,18105,5359314,3615059,43053,12982579,35279,2090093,1522119,1121439,883475,162400,58193,226525,429478,56318,761788,6827,4082,226509,10856,1764725,2123210,2835547,95317,321034,456565,427085,188447,3207,Cifras definitivas
334210,2013,2367,3850,594,863,14105,2902,898825,2180941,43053,3377249,19131,1256658,924320,692118,643902,70308,4626,22064,63668,39372,131114,3902,611,40051,0,442577,534233,469858,18487,71373,34061,66806,34727,1034,Cifras definitivas
334220,2013,7748,9491,2796,3409,39906,14276,2935549,672387,0,6949694,10026,164882,504668,103320,226800,74909,28059,123186,243535,8110,588216,329,3401,93110,10856,1088381,1309578,2033139,22853,223625,357785,287416,128724,1999,Cifras definitivas
334290,2013,5170,7086,206,209,30233,927,1524940,761731,0,2655636,6122,668553,93131,326001,12773,17183,25508,81275,122275,8836,42458,2596,70,93348,0,233767,279399,332550,53977,26036,64719,72863,24996,174,Cifras definitivas
3343,2013,20353,19694,2081,1728,96119,8432,6088863,5325790,5568,10566139,112999,3696640,1647819,360976,3647725,367996,22510,300277,587206,74130,428954,3111,1689,282849,33955,1366959,1056539,5355617,49050,232249,260512,390020,150911,1044,Cifras definitivas
334310,2013,20353,19694,2081,1728,96119,8432,6088863,5325790,5568,10566139,112999,3696640,1647819,360976,3647725,367996,22510,300277,587206,74130,428954,3111,1689,282849,33955,1366959,1056539,5355617,49050,232249,260512,390020,150911,1044,Cifras definitivas
3344,2013,40465,52828,9421,8723,224069,43312,13580710,7435066,53850,30220059,247004,1256309,6228791,936060,3624690,394615,69068,724197,1392388,111241,2635960,4778,57605,866130,811,3668310,4911654,5942827,91409,372209,384310,737761,438483,93988,Cifras definitivas
334410,2013,40465,52828,9421,8723,224069,43312,13580710,7435066,53850,30220059,247004,1256309,6228791,936060,3624690,394615,69068,724197,1392388,111241,2635960,4778,57605,866130,811,3668310,4911654,5942827,91409,372209,384310,737761,438483,93988,Cifras definitivas
3345,2013,4834,5269,936,1744,23207,5866,1785977,8306711,35132,2599156,87438,1864025,6539686,401125,5118270,58984,48005,115839,168193,166625,432150,829,1090,226975,4878,843413,1028110,890563,27294,71459,81616,138895,186835,1135,Cifras definitivas
334519,2013,4834,5269,936,1744,23207,5866,1785977,8306711,35132,2599156,87438,1864025,6539686,401125,5118270,58984,48005,115839,168193,166625,432150,829,1090,226975,4878,843413,1028110,890563,27294,71459,81616,138895,186835,1135,Cifras definitivas
3346,2013,1893,1668,391,364,8783,1922,810667,4049918,0,537889,115667,1222192,2833586,1003198,794409,32638,3167,159599,176681,24373,85395,31063,37413,26440,14211,276353,3471317,883643,8430,130159,76297,208377,65843,18285,Cifras definitivas
334610,2013,1893,1668,391,364,8783,1922,810667,4049918,0,537889,115667,1222192,2833586,1003198,794409,32638,3167,159599,176681,24373,85395,31063,37413,26440,14211,276353,3471317,883643,8430,130159,76297,208377,65843,18285,Cifras definitivas
335,2013,74567,45994,24558,10484,275969,79313,18568672,126512234,211055,30237066,3613248,74659416,51882354,57549892,21482410,1655420,638443,2263227,3113496,1810329,6718595,129414,334154,1817642,523402,6721282,33286992,14187389,622050,1022327,1511808,3650603,2166317,214124,Cifras definitivas
3351,2013,6755,3985,493,424,24402,2136,1755781,2456190,4646,3182189,112214,1456848,1005323,540472,734470,192864,47875,188235,159491,52471,184985,10592,9550,142540,6142,548086,559791,723031,70938,36601,86205,93291,102856,15793,Cifras definitivas
335110,2013,2204,1799,392,348,9087,1751,692346,1105245,0,1191404,31148,207971,904188,40916,584462,69379,14397,88701,76649,36662,169500,2351,0,61648,6142,139844,300365,248670,12570,7638,16396,33285,41717,1780,Cifras definitivas
335120,2013,4551,2186,101,76,15315,385,1063435,1350945,4646,1990785,81066,1248877,101135,499556,150008,123485,33478,99534,82842,15809,15485,8241,9550,80892,0,408242,259426,474361,58368,28963,69809,60006,61139,14013,Cifras definitivas
3352,2013,21442,14948,9288,5727,81526,32778,5030231,45093040,33417,7606031,596389,27573444,17557106,19725028,9482965,416729,172246,687106,912771,814628,2242547,8241,99966,624148,55495,1950841,16353029,6128939,152623,282211,279225,1716983,900455,54639,Cifras definitivas
335210,2013,3939,3498,463,331,16275,1826,974191,2189587,28146,1640997,58028,1698321,491218,410004,598489,41097,12318,63213,141643,30994,175961,5547,16589,120433,12268,290839,978388,704355,32105,46979,65905,126231,58810,7734,Cifras definitivas
335220,2013,17503,11450,8825,5396,65251,30952,4056040,42903453,5271,5965034,538361,25875123,17065888,19315024,8884476,375632,159928,623893,771128,783634,2066586,2694,83377,503715,43227,1660002,15374641,5424584,120518,235232,213320,1590752,841645,46905,Cifras definitivas
3353,2013,22927,10778,8729,2495,75950,25588,5920542,27621880,85622,8678556,792037,12656379,14955374,10063681,5642960,368163,226897,444151,702582,446700,2371591,39624,55288,495328,357034,1750148,5891305,3712931,213410,403396,795799,809283,432134,51170,Cifras definitivas
335311,2013,13249,6625,2271,785,44385,6493,3418543,10280625,0,5419229,225281,4532863,5770959,3356426,2807079,228743,150196,239611,449471,160308,533441,18785,10649,253653,65534,909903,2700556,1605176,62587,98236,523652,377638,241021,6904,Cifras definitivas
335312,2013,9678,4153,6458,1710,31565,19095,2501999,17341255,85622,3259327,566756,8123516,9184415,6707255,2835881,139420,76701,204540,253111,286392,1838150,20839,44639,241675,291500,840245,3190749,2107755,150823,305160,272147,431645,191113,44266,Cifras definitivas
3359,2013,23443,16283,6048,1838,94091,18811,5862118,51341124,87370,10770290,2112608,32972745,18364551,27220711,5622015,677664,191425,943735,1338652,496530,1919472,70957,169350,555626,104731,2472207,10482867,3622488,185079,300119,350579,1031046,730872,92522,Cifras definitivas
335910,2013,3325,952,361,29,9790,891,762719,9765454,0,889182,186778,5352904,4450987,4696815,938087,56234,37385,204370,270787,68626,75843,12012,0,79671,0,203505,1788454,460798,23726,35710,69190,182118,176958,4403,Cifras definitivas
335920,2013,6064,3707,4544,579,24043,12693,1481491,35340720,0,2440923,1638366,23788070,11538467,20648561,3834589,473580,83820,451931,519284,344778,1545928,33117,96235,210951,13841,1058746,5785372,1788383,70253,126222,74768,510135,352670,56684,Cifras definitivas
335930,2013,8514,6647,777,1125,35429,4211,2055549,3669465,86830,4904887,179214,2635708,1009014,960326,580792,104229,23201,156574,214117,57653,254677,23591,71444,190916,48307,687974,1155903,539245,54458,76675,148467,145544,65498,21908,Cifras definitivas
335991,2013,968,226,50,21,2721,150,283422,376938,540,1006270,68548,216772,160178,81651,94760,2227,18037,57650,202359,3262,5745,322,1005,8533,6008,206435,1080110,439822,21604,43751,14383,138372,21681,202,Cifras definitivas
335999,2013,4572,4751,316,84,22108,866,1278937,2188547,0,1529028,39702,979291,1205905,833358,173787,41394,28982,73210,132105,22211,37279,1915,666,65555,36575,315547,673028,394240,15038,17761,43771,54877,114065,9325,Cifras definitivas
336,2013,313363,177808,112693,56196,1094155,391258,81633445,1307037021,3769509,109300479,15272510,347065272,956270473,356761857,552998002,4684652,3378648,13310520,12933101,23171158,36008984,2252896,2677583,7458666,7577312,52573839,265376399,71955879,2622573,6074642,12574399,27979541,33169298,2244027,Cifras definitivas
3361,2013,44413,6037,9529,1539,105722,24538,17126934,743484923,0,0,4644570,112231101,628859638,217453523,340475624,1084161,601629,3032008,2431453,13986208,3122877,2035255,29184,1301963,2499523,17794538,98417280,26400713,989149,1880688,2719967,11980770,13427169,714019,Cifras definitivas
336110,2013,36740,4571,3236,770,86450,8713,14387547,575771156,0,0,3208784,70786249,501878734,171706967,257505512,1042774,508835,2724110,2181642,11536609,1365787,1955557,29184,1087797,2005923,16727765,85703941,22254801,865642,1155055,2519931,10050977,12997618,672358,Cifras definitivas
336120,2013,7673,1466,6293,769,19272,15825,2739387,167713767,0,0,1435786,41444852,126980904,45746556,82970112,41387,92794,307898,249811,2449599,1757090,79698,0,214166,493600,1066773,12713339,4145912,123507,725633,200036,1929793,429551,41661,Cifras definitivas
3362,2013,7254,818,3158,454,17940,8955,1200982,12743754,1300,391056,233675,9341453,3380147,5428673,2241700,21729,50173,132153,129808,76917,506520,10928,50323,110774,29763,482273,2878993,1172206,197630,74466,83465,290127,164419,7270,Cifras definitivas
336210,2013,7254,818,3158,454,17940,8955,1200982,12743754,1300,391056,233675,9341453,3380147,5428673,2241700,21729,50173,132153,129808,76917,506520,10928,50323,110774,29763,482273,2878993,1172206,197630,74466,83465,290127,164419,7270,Cifras definitivas
3363,2013,242541,164071,88503,49879,908946,321309,58446915,518209379,3767826,98776385,8429924,217572351,299313723,129212775,195234372,3433569,2371142,9483393,9814268,8439791,28834149,171777,1488816,5273364,4941928,31327925,156313735,39557653,1294533,3751435,9287910,14824245,18509472,1374234,Cifras definitivas
336310,2013,26632,3388,9895,2072,72322,28161,7242855,109760581,1582424,2947460,1224522,28345679,81494475,23276676,44609223,345929,522959,1487820,2278344,1868962,2882507,83806,91559,566650,695374,4884590,64039554,10610131,292445,657981,1234659,5191007,4485531,136699,Cifras definitivas
336320,2013,94661,89416,21445,20477,393309,96737,22099981,92138778,230854,38062933,2069498,26396981,65649143,24569947,32834352,781010,260750,1954258,1924209,1372061,7305734,5851,53794,1238164,1674381,10577866,21172013,8779703,283832,1147799,1712021,2137273,2572621,176635,Cifras definitivas
336330,2013,8037,1698,4245,1773,22023,13870,1952505,30531501,95500,2882129,173578,13383963,17031432,6146448,11084159,130959,205929,582077,442796,401459,1236132,6762,36436,297254,267899,1305810,7360892,1883386,65914,143060,217263,618124,1057629,71416,Cifras definitivas
336340,2013,9170,3506,2573,1074,27525,8374,2324667,11224310,0,4080862,113437,6271491,4952430,2945904,2356563,165898,122374,603135,662034,192479,576138,21405,190883,267507,70148,1219670,4824837,1735799,73881,113241,107442,494641,379679,114186,Cifras definitivas
336350,2013,12923,2372,7912,2305,35628,25499,3481500,51587666,263679,9957858,614115,13043291,38305511,6765670,24305697,349629,424719,1284695,1018911,1283547,3025184,21476,414253,792863,436966,3784881,15449745,2483789,105017,185240,3315356,1857388,2746234,213808,Cifras definitivas
336360,2013,36134,26540,8494,7694,139502,33566,7389277,42851962,31635,18553353,201576,25904212,16644797,9773297,20238394,409037,86401,533744,659114,733071,2466151,3671,92885,532329,180725,1656894,5053186,1649679,58954,220218,193031,538452,988367,176545,Cifras definitivas
336370,2013,8339,2244,8364,2774,25572,26594,2023521,43038437,185245,658945,1424803,34436484,8467233,18750009,7876576,148371,169364,828951,516296,672704,2631381,2998,369760,502382,474478,1543432,10512246,2390134,92189,230958,530294,1011737,2008655,88119,Cifras definitivas
336390,2013,46645,34907,25575,11710,193065,88508,11932609,137076144,1378489,21632845,2608395,69790250,66768702,36984824,51929408,1102736,578646,2208713,2312564,1915508,8710922,25808,239246,1076215,1141957,6354782,27901262,10025032,322301,1052938,1977844,2975623,4270756,396826,Cifras definitivas
3364,2013,6637,3891,5239,3698,24909,19676,2161895,7166451,91,7687784,480448,116711,7067645,89240,4707312,100681,44781,377236,287810,182822,1973007,4808,1134,381019,9177,1399254,3849507,1390225,33567,239719,226035,481504,323344,102669,Cifras definitivas
336410,2013,6637,3891,5239,3698,24909,19676,2161895,7166451,91,7687784,480448,116711,7067645,89240,4707312,100681,44781,377236,287810,182822,1973007,4808,1134,381019,9177,1399254,3849507,1390225,33567,239719,226035,481504,323344,102669,Cifras definitivas
3365,2013,5731,942,2950,166,16544,7273,1189363,17043305,0,437619,1230516,770546,16257170,2486636,9017007,14086,50069,179409,133360,388706,587452,1640,1093660,239271,9544,549028,2354750,1172104,26072,27300,190798,187618,422837,23316,Cifras definitivas
336510,2013,5731,942,2950,166,16544,7273,1189363,17043305,0,437619,1230516,770546,16257170,2486636,9017007,14086,50069,179409,133360,388706,587452,1640,1093660,239271,9544,549028,2354750,1172104,26072,27300,190798,187618,422837,23316,Cifras definitivas
3366,2013,2917,362,2659,164,8206,7605,645057,5854659,6,268373,22687,4965282,892344,1684670,542029,3732,185911,61684,71953,40520,847327,4281,9179,108663,0,603095,880555,1771186,22813,21403,14201,115542,218671,11493,Cifras definitivas
336610,2013,2917,362,2659,164,8206,7605,645057,5854659,6,268373,22687,4965282,892344,1684670,542029,3732,185911,61684,71953,40520,847327,4281,9179,108663,0,603095,880555,1771186,22813,21403,14201,115542,218671,11493,Cifras definitivas
3369,2013,3870,1687,655,296,11888,1902,862299,2534550,286,1739262,230690,2067828,499806,406340,779958,26694,74943,44637,64449,56194,137652,24207,5287,43612,87377,417726,681579,491792,58809,79631,52023,99735,103386,11026,Cifras definitivas
336991,2013,3189,1305,348,91,9504,876,723989,1014734,0,1737111,48526,517399,497419,191254,330722,8468,66860,36954,57615,18334,43253,15516,1006,19120,30613,335685,310525,348358,17371,59713,16596,57469,78484,6581,Cifras definitivas
336992,2013,681,382,307,205,2384,1026,138310,1519816,286,2151,182164,1550429,2387,215086,449236,18226,8083,7683,6834,37860,94399,8691,4281,24492,56764,82041,371054,143434,41438,19918,35427,42266,24902,4445,Cifras definitivas
337,2013,30985,10735,3871,1342,96289,11914,4785406,19635848,79357,4839139,336985,15440865,4163468,8669838,1031223,370494,242107,356258,379864,540291,712680,224735,185536,717922,42498,1739538,3517559,1342703,561261,269701,276945,450826,225026,26796,Cifras definitivas
3371,2013,15508,4879,2750,1019,47557,8938,2062289,8332456,53076,2531769,97472,4886203,3446314,3292562,861369,175760,74245,133839,215445,247501,491251,39712,140709,296180,95,674314,1504359,606421,235857,138839,116844,202896,99190,16914,Cifras definitivas
337120,2013,15508,4879,2750,1019,47557,8938,2062289,8332456,53076,2531769,97472,4886203,3446314,3292562,861369,175760,74245,133839,215445,247501,491251,39712,140709,296180,95,674314,1504359,606421,235857,138839,116844,202896,99190,16914,Cifras definitivas
3372,2013,8382,1720,687,123,23278,1675,1291448,5315071,6522,965959,233351,4570807,712001,1985167,143244,67371,62424,104649,91272,168575,123807,26370,43175,207945,24172,630443,1166754,510518,140894,79513,117626,126866,52813,3972,Cifras definitivas
337210,2013,8382,1720,687,123,23278,1675,1291448,5315071,6522,965959,233351,4570807,712001,1985167,143244,67371,62424,104649,91272,168575,123807,26370,43175,207945,24172,630443,1166754,510518,140894,79513,117626,126866,52813,3972,Cifras definitivas
3379,2013,7095,4136,434,200,25454,1301,1431669,5988321,19759,1341411,6162,5983855,5153,3392109,26610,127363,105438,117770,73147,124215,97622,158653,1652,213797,18231,434781,846446,225764,184510,51349,42475,121064,73023,5910,Cifras definitivas
337910,2013,2637,792,434,200,7654,1301,544980,5877249,0,36220,2632,5873775,3803,3343586,26610,114333,96383,90707,23883,123303,97622,156233,1645,102785,18231,315800,704761,197325,169660,37125,26641,102481,63238,5599,Cifras definitivas
337920,2013,4458,3344,0,0,17800,0,886689,111072,19759,1305191,3530,110080,1350,48523,0,13030,9055,27063,49264,912,0,2420,7,111012,0,118981,141685,28439,14850,14224,15834,18583,9785,311,Cifras definitivas
339,2013,60410,74625,5162,4103,313246,21003,18842012,30225959,244159,27397592,1761047,19249601,10937780,7642173,6290751,2386414,220462,1142507,1894483,616091,1172020,157456,270148,1376483,307079,4700226,11846724,7118760,601577,724438,2050509,1758242,989901,57752,Cifras definitivas
3391,2013,41637,55669,2213,1117,225030,7591,13811800,8271702,44179,21021393,698065,5087485,3186037,1935215,950409,1481801,80713,560055,1153291,290833,398444,16162,54847,778037,52786,3035916,5080371,4884135,201174,370394,1628426,977580,526509,5581,Cifras definitivas
339111,2013,18350,23994,1199,666,94295,4458,5774461,784302,19712,10166700,103365,750050,29705,297674,64413,514049,32498,240005,480386,6375,272204,5481,3253,388162,0,1364435,1175590,1678581,69845,115299,106030,233797,186455,683,Cifras definitivas
339112,2013,21371,28859,981,428,120703,3016,7305826,7131612,24098,9705704,582132,4118192,3019592,1599304,821371,938871,42836,266847,570992,281883,120845,7003,51522,359172,52786,1480327,3693300,3089014,118601,203770,1386191,701212,308631,4870,Cifras definitivas
339113,2013,1916,2816,33,23,10032,117,731513,355788,369,1148989,12568,219243,136740,38237,64625,28881,5379,53203,101913,2575,5395,3678,72,30703,0,191154,211481,116540,12728,51325,136205,42571,31423,28,Cifras definitivas
3399,2013,18773,18956,2949,2986,88216,13412,5030212,21954257,199980,6376199,1062982,14162116,7751743,5706958,5340342,904613,139749,582452,741192,325258,773576,141294,215301,598446,254293,1664310,6766353,2234625,400403,354044,422083,780662,463392,52171,Cifras definitivas
339912,2013,1723,2072,216,229,9001,968,347440,1634189,17634,246087,29011,1242090,400585,751879,200593,5714,3582,22125,24123,7115,36705,12360,33376,33790,4789,106346,323992,59297,71879,30499,61662,44734,24364,3930,Cifras definitivas
339920,2013,1672,1373,63,27,6897,220,325006,288897,240,490227,3475,260386,33971,142149,0,19889,11159,14586,28494,4755,10670,2282,3419,26333,499,118982,54167,55336,19250,6310,10827,11793,8763,298,Cifras definitivas
339930,2013,4795,4984,371,351,23551,1768,1269972,3541072,20140,1914474,304222,1286246,2262482,592204,1366374,211249,13241,137682,273372,58922,83446,26581,41257,161413,17837,430709,1682087,673629,49601,88685,92430,143261,94063,743,Cifras definitivas
339940,2013,3393,4036,938,1510,17230,5417,1358691,6261915,140131,2180301,481944,4357901,1851153,1638707,1438797,222660,23834,215556,165667,103448,320513,72322,86702,167544,184181,423475,1965653,704052,71810,132192,140135,258156,155403,13971,Cifras definitivas
339992,2013,638,573,228,134,2592,727,180127,860419,0,81639,52915,739249,127835,154216,303933,12035,5987,12499,23543,11444,40815,1040,9897,33522,8331,60555,300048,138588,19878,9481,44781,37058,19165,604,Cifras definitivas
339993,2013,2674,2735,117,111,13224,484,664580,3371690,250,487832,7588,1414520,1959945,1118212,107583,211824,10747,78820,107567,43959,23295,3223,15529,35275,138,132633,1279854,233258,60970,40003,23311,128897,58671,28287,Cifras definitivas
339994,2013,1101,751,16,9,4317,60,226191,3490415,21055,0,36254,3245844,219755,858535,1304997,165571,52249,20676,11913,58859,13502,19830,23635,36909,9673,152357,285544,134283,81478,9422,13654,44463,12558,1214,Cifras definitivas
339999,2013,2777,2432,1000,615,11404,3768,658205,2505660,530,975639,147573,1615880,896017,451056,618065,55671,18950,80508,106513,36756,244630,3656,1486,103660,28845,239253,875008,236182,25537,37452,35283,112300,90405,3124,Cifras definitivas
31-33,2014,1700022,937554,489106,220260,6273514,1687860,416576936,5943851863,41311293,368203881,101025658,4058720897,1868801782,2468076946,1008642354,148156218,77412468,79651638,99221347,87010690,154362168,25933866,37623033,44770523,24628033,211123772,1636270035,530695124,59247280,33298435,80176052,149628999,181527297,29831581,Cifras definitivas
311,2014,320580,174208,74277,36340,1286612,275946,51930947,870230279,6213927,4714903,16420909,803942250,64662618,379675107,56864127,45467243,13249760,11577940,10197038,12915661,21947636,5590553,2602030,6989249,1190354,20081441,178794483,72740460,17371034,4295318,7143215,18505022,22088496,1249615,Cifras definitivas
3111,2014,3617,1253,4730,952,11528,14095,689498,64801726,350944,0,461143,63533668,1105913,42282238,7004520,557901,468166,417298,473775,632728,1400400,34293,62363,119919,96214,729315,6056408,3754538,957102,220475,405421,619693,1526454,57201,Cifras definitivas
311110,2014,3617,1253,4730,952,11528,14095,689498,64801726,350944,0,461143,63533668,1105913,42282238,7004520,557901,468166,417298,473775,632728,1400400,34293,62363,119919,96214,729315,6056408,3754538,957102,220475,405421,619693,1526454,57201,Cifras definitivas
3112,2014,15250,2257,8959,2283,44063,28787,3926189,145341594,935656,0,1915907,140368727,4665032,67921988,28439667,5235494,2152678,1339653,2213240,3272249,3083883,366327,492102,519589,278966,2684078,28280621,9800246,1620256,676999,500615,2506892,3182261,194886,Cifras definitivas
311211,2014,540,130,58,21,1669,194,61325,2452339,6333,0,13843,2436857,0,1519680,447346,49522,12907,17046,26827,74972,12133,10862,0,6315,0,45147,167975,88877,41898,9380,9266,23193,17825,2555,Cifras definitivas
311212,2014,4192,770,2138,369,12341,6268,864449,28372823,512004,0,865852,27936680,263630,17003439,2956504,486729,127075,219308,428819,766921,634092,61328,79576,59763,1396,516283,3944107,2388918,613475,272402,176403,511587,209338,32896,Cifras definitivas
