INDUSTRYKEY,YEAR,DIR EMP(M),DIR EMP(F),IND EMP(M),IND EMP(F),DIR HOURS ,IND HOURS ,TCOMP DIR(USD),TWPRODUCTS(USD) ,TSALES NATIONAL(USD),TSALES EXPORT(USD),TCELECT ENERGY(USD),TCOMP IND(USD),TWMACHINERY(USD),NUMBER TECH DEVICES
332,2016,155775.0,31752.0,36746.0,13974.0,430561.0,114692.0,27376910.0,213179840.0,154482113.0,58374142.0,4642483.0,10436343.0,61225371.0,1776840.0
333,2016,64890.0,21410.0,18275.0,5179.0,200886.0,52850.0,18855370.0,131348460.0,45420797.0,85776449.0,1573355.0,5806849.0,25398579.0,1335087.0
334,2016,118918.0,123547.0,16385.0,15781.0,572871.0,74900.0,43410267.0,64739351.0,12741295.0,52000369.0,3131342.0,5228498.0,16071374.0,1887717.0
335,2016,76487.0,50959.0,35362.0,15879.0,292781.0,117525.0,23093759.0,171073859.0,101519864.0,69298328.0,3256818.0,10526451.0,37692657.0,1170440.0
336,2016,398875.0,248068.0,115021.0,58815.0,1438067.0,403330.0,120834390.0,1964419616.0,529591056.0,1432606916.0,14690614.0,44056038.0,401851195.0,8433475.0
337,2016,32940.0,12981.0,4661.0,1427.0,110133.0,13903.0,5908324.0,22050646.0,18788331.0,3386243.0,389603.0,838017.0,4187354.0,304818.0
339,2016,67772.0,87952.0,5862.0,5599.0,358727.0,26489.0,25593114.0,36790246.0,21669126.0,15015169.0,1822322.0,1661818.0,15034376.0,867384.0
311,2017,330006.0,178791.0,77655.0,39548.0,1360843.0,296840.0,62216772.0,1086816300.0,990931889.0,94596244.0,10812537.0,25941893.0,223840319.0,5568633.0
312,2017,69879.0,9587.0,33395.0,4055.0,205852.0,92891.0,12709218.0,438593660.0,334669833.0,103029818.0,3097118.0,10713585.0,102832384.0,2640302.0
313,2017,34807.0,12692.0,8957.0,3421.0,115054.0,31319.0,6548484.0,61911483.0,42549326.0,19156715.0,2913751.0,2248275.0,29220647.0,468696.0
314,2017,9874.0,7277.0,3751.0,1191.0,40164.0,10839.0,2214750.0,13101517.0,11018582.0,2118205.0,351515.0,831897.0,4926298.0,196806.0
315,2017,52955.0,69733.0,8148.0,10158.0,277024.0,42903.0,11987354.0,46569508.0,34699262.0,11831319.0,840914.0,2081934.0,8578223.0,693610.0
316,2017,35281.0,22200.0,4094.0,2151.0,128434.0,14508.0,7031424.0,39664430.0,28095058.0,11502700.0,481594.0,1081023.0,5350086.0,409488.0
321,2017,10091.0,1874.0,2339.0,668.0,27827.0,7165.0,1426512.0,14873819.0,11146386.0,3708101.0,291023.0,649945.0,3225315.0,88149.0
322,2017,43344.0,13516.0,14549.0,3869.0,146458.0,49145.0,13234381.0,200157574.0,176228558.0,23224833.0,7116606.0,4559801.0,90874677.0,1094198.0
323,2017,14359.0,9226.0,3273.0,2539.0,56592.0,14478.0,4292272.0,28314350.0,26351872.0,1973585.0,553955.0,1217579.0,11792489.0,561471.0
324,2017,19947.0,4704.0,1346.0,480.0,55363.0,3954.0,14088487.0,567414057.0,564872931.0,2352991.0,501402.0,927059.0,218447383.0,311797.0
325,2017,71224.0,32837.0,33797.0,13760.0,242592.0,113181.0,37654803.0,784319092.0,598789710.0,181866596.0,10192857.0,19856726.0,259285536.0,6406617.0
326,2017,83518.0,53681.0,40925.0,25488.0,324101.0,162717.0,26151960.0,251314548.0,175653690.0,75420488.0,8303796.0,16000262.0,86768013.0,2541677.0
327,2017,49676.0,9514.0,32738.0,7016.0,152608.0,103275.0,13854163.0,236114912.0,203956912.0,31968641.0,13552441.0,11065054.0,129236911.0,1454643.0
331,2017,53541.0,6542.0,24481.0,4095.0,147808.0,72905.0,18076104.0,541180405.0,374368660.0,162304386.0,21002302.0,9183596.0,227593724.0,2602321.0
332,2017,162298.0,33798.0,37799.0,14217.0,444545.0,117313.0,30347166.0,235626195.0,170933505.0,63850619.0,5324743.0,11361082.0,63202160.0,1911284.0
333,2017,70450.0,22934.0,19030.0,5712.0,217894.0,56904.0,21192111.0,148256153.0,47932893.0,100077266.0,1854091.0,6464260.0,27159627.0,1431932.0
334,2017,130056.0,135605.0,13880.0,12938.0,622154.0,62186.0,50441384.0,65523326.0,12134211.0,53295908.0,3726139.0,5211759.0,17218236.0,2087360.0
335,2017,82148.0,56964.0,38349.0,16678.0,325874.0,127492.0,26596044.0,187208989.0,109033038.0,78134655.0,3811715.0,11906228.0,39058529.0,1260767.0
336,2017,421088.0,265975.0,118580.0,62505.0,1535647.0,422498.0,136256218.0,2295684790.0,576175265.0,1719575146.0,16854066.0,49391100.0,449954618.0,9562824.0
337,2017,34091.0,13860.0,4798.0,1407.0,114086.0,14037.0,6637867.0,23680794.0,20061358.0,3510414.0,448159.0,936006.0,4412705.0,328372.0
339,2017,71902.0,90872.0,6249.0,6019.0,378125.0,28925.0,28880607.0,38179471.0,23216314.0,15019882.0,2229149.0,2084695.0,16760828.0,975163.0
